M	ENTITY/Machine_learning	ENTITY/Supervised_learning
M	ENTITY/Speedup	ENTITY/Instruction_scheduling
M	ENTITY/Supervised_learning	ENTITY/Training,_test,_and_validation_sets
M	ENTITY/Supervised_learning	ENTITY/Statistical_classification
M	ENTITY/Supervised_learning	ENTITY/Boosting_(machine_learning)
M	ENTITY/Supervised_learning	ENTITY/Sample_complexity
M	ENTITY/Supervised_learning	ENTITY/Incremental_learning
M	ENTITY/Supervised_learning	ENTITY/Unsupervised_learning
M	ENTITY/Supervised_learning	ENTITY/Multilayer_perceptron
M	ENTITY/Supervised_learning	ENTITY/C4.5_algorithm
M	ENTITY/Supervised_learning	ENTITY/Ensemble_learning
M	ENTITY/Supervised_learning	ENTITY/Support_vector_machine
M	ENTITY/Supervised_learning	ENTITY/Early_stopping
M	ENTITY/Overfitting	ENTITY/Generalization_error
M	ENTITY/Overfitting	ENTITY/Regularization_(mathematics)
M	ENTITY/Overfitting	ENTITY/Early_stopping
M	ENTITY/Training,_test,_and_validation_sets	ENTITY/Sample_complexity
M	ENTITY/Training,_test,_and_validation_sets	ENTITY/Incremental_learning
M	ENTITY/Training,_test,_and_validation_sets	ENTITY/Generalization_error
M	ENTITY/Training,_test,_and_validation_sets	ENTITY/Unsupervised_learning
M	ENTITY/Training,_test,_and_validation_sets	ENTITY/C4.5_algorithm
M	ENTITY/Training,_test,_and_validation_sets	ENTITY/Ensemble_learning
M	ENTITY/Training,_test,_and_validation_sets	ENTITY/AdaBoost
M	ENTITY/Training,_test,_and_validation_sets	ENTITY/Kernel_method
M	ENTITY/Training,_test,_and_validation_sets	ENTITY/Early_stopping
M	ENTITY/Feedforward_neural_network	ENTITY/Backpropagation
M	ENTITY/Feedforward_neural_network	ENTITY/Recurrent_neural_network
M	ENTITY/Feedforward_neural_network	ENTITY/Unsupervised_learning
M	ENTITY/Feedforward_neural_network	ENTITY/Multilayer_perceptron
M	ENTITY/Feedforward_neural_network	ENTITY/Artificial_neuron
M	ENTITY/Feedforward_neural_network	ENTITY/Radial_basis_function_network
M	ENTITY/Backpropagation	ENTITY/Recurrent_neural_network
M	ENTITY/Backpropagation	ENTITY/Gradient_descent
M	ENTITY/Backpropagation	ENTITY/Multilayer_perceptron
M	ENTITY/Competitive_learning	ENTITY/Ensemble_learning
M	ENTITY/Function_approximation	ENTITY/Multilayer_perceptron
M	ENTITY/Function_approximation	ENTITY/Radial_basis_function_network
M	ENTITY/Function_approximation	ENTITY/Radial_basis_function
M	ENTITY/Function_approximation	ENTITY/Kernel_method
M	ENTITY/Evolutionary_algorithm	ENTITY/Evolutionary_computation
M	ENTITY/Probably_approximately_correct_learning	ENTITY/Boosting_(machine_learning)
M	ENTITY/Probably_approximately_correct_learning	ENTITY/VC_dimension
M	ENTITY/Probably_approximately_correct_learning	ENTITY/Sample_complexity
M	ENTITY/Probably_approximately_correct_learning	ENTITY/Incremental_learning
M	ENTITY/Probably_approximately_correct_learning	ENTITY/Generalization_error
M	ENTITY/Probably_approximately_correct_learning	ENTITY/Inductive_logic_programming
M	ENTITY/Probably_approximately_correct_learning	ENTITY/Concept_class
M	ENTITY/Probably_approximately_correct_learning	ENTITY/C4.5_algorithm
M	ENTITY/Probably_approximately_correct_learning	ENTITY/Ensemble_learning
M	ENTITY/Probably_approximately_correct_learning	ENTITY/Computational_learning_theory
M	ENTITY/Probably_approximately_correct_learning	ENTITY/Early_stopping
M	ENTITY/Boosting_(machine_learning)	ENTITY/VC_dimension
M	ENTITY/Boosting_(machine_learning)	ENTITY/Sample_complexity
M	ENTITY/Boosting_(machine_learning)	ENTITY/Generalization_error
M	ENTITY/Boosting_(machine_learning)	ENTITY/C4.5_algorithm
M	ENTITY/Boosting_(machine_learning)	ENTITY/Ensemble_learning
M	ENTITY/Boosting_(machine_learning)	ENTITY/Computational_learning_theory
M	ENTITY/Boosting_(machine_learning)	ENTITY/AdaBoost
M	ENTITY/Boosting_(machine_learning)	ENTITY/Kernel_method
M	ENTITY/Boosting_(machine_learning)	ENTITY/Early_stopping
M	ENTITY/VC_dimension	ENTITY/Sample_complexity
M	ENTITY/VC_dimension	ENTITY/Generalization_error
M	ENTITY/VC_dimension	ENTITY/Concept_class
M	ENTITY/VC_dimension	ENTITY/Radial_basis_function_network
M	ENTITY/VC_dimension	ENTITY/Computational_learning_theory
M	ENTITY/VC_dimension	ENTITY/Early_stopping
M	ENTITY/Sample_complexity	ENTITY/Incremental_learning
M	ENTITY/Sample_complexity	ENTITY/Generalization_error
M	ENTITY/Sample_complexity	ENTITY/Concept_class
M	ENTITY/Sample_complexity	ENTITY/Loss_function
M	ENTITY/Sample_complexity	ENTITY/C4.5_algorithm
M	ENTITY/Sample_complexity	ENTITY/Ensemble_learning
M	ENTITY/Sample_complexity	ENTITY/Leo_Breiman
M	ENTITY/Sample_complexity	ENTITY/Computational_learning_theory
M	ENTITY/Sample_complexity	ENTITY/AdaBoost
M	ENTITY/Sample_complexity	ENTITY/Kernel_method
M	ENTITY/Sample_complexity	ENTITY/Early_stopping
M	ENTITY/Sample_complexity	ENTITY/Stochastic_optimization
M	ENTITY/Recurrent_neural_network	ENTITY/Multilayer_perceptron
M	ENTITY/Incremental_learning	ENTITY/Generalization_error
M	ENTITY/Incremental_learning	ENTITY/Unsupervised_learning
M	ENTITY/Incremental_learning	ENTITY/C4.5_algorithm
M	ENTITY/Incremental_learning	ENTITY/Ensemble_learning
M	ENTITY/Incremental_learning	ENTITY/Early_stopping
M	ENTITY/Genetic_algorithm	ENTITY/Evolutionary_computation
