M	ENTITY/Physics	ENTITY/Chemistry
M	ENTITY/Carbon_dioxide	ENTITY/Nitrogen
M	ENTITY/Carbon_dioxide	ENTITY/Methane
M	ENTITY/Nitrogen	ENTITY/Hydrogen
M	ENTITY/Hydrogen	ENTITY/Methane
M	ENTITY/Bayesian_inference	ENTITY/Bayesian_probability
M	ENTITY/Bayesian_inference	ENTITY/Bayesian_network
M	ENTITY/Reinforcement_learning	ENTITY/Boosting_(machine_learning)
M	ENTITY/Reinforcement_learning	ENTITY/Unsupervised_learning
M	ENTITY/Reinforcement_learning	ENTITY/Evolutionary_computation
M	ENTITY/Reinforcement_learning	ENTITY/Artificial_neural_network
M	ENTITY/Reinforcement_learning	ENTITY/Machine_learning
M	ENTITY/Reinforcement_learning	ENTITY/Recurrent_neural_network
M	ENTITY/Genetic_programming	ENTITY/Computational_intelligence
M	ENTITY/Genetic_programming	ENTITY/Evolutionary_computation
M	ENTITY/Genetic_programming	ENTITY/Evolutionary_algorithm
M	ENTITY/Genetic_programming	ENTITY/Machine_learning
M	ENTITY/Computational_intelligence	ENTITY/Boosting_(machine_learning)
M	ENTITY/Computational_intelligence	ENTITY/Unsupervised_learning
M	ENTITY/Computational_intelligence	ENTITY/Evolutionary_computation
M	ENTITY/Computational_intelligence	ENTITY/Evolutionary_algorithm
M	ENTITY/Computational_intelligence	ENTITY/Connectionism
M	ENTITY/Computational_intelligence	ENTITY/Artificial_neural_network
M	ENTITY/Computational_intelligence	ENTITY/Machine_learning
M	ENTITY/Computational_intelligence	ENTITY/Data_mining
M	ENTITY/DNA	ENTITY/Nucleic_acid_hybridization
M	ENTITY/DNA	ENTITY/Nucleic_acid_sequence
M	ENTITY/DNA	ENTITY/Genome
M	ENTITY/DNA	ENTITY/RNA
M	ENTITY/Microarray	ENTITY/Gene_expression
M	ENTITY/Microarray	ENTITY/Nucleic_acid_hybridization
M	ENTITY/Microarray	ENTITY/DNA_microarray
M	ENTITY/Text_mining	ENTITY/Bioinformatics
M	ENTITY/Text_mining	ENTITY/Unsupervised_learning
M	ENTITY/Text_mining	ENTITY/Semantic_Web
M	ENTITY/Text_mining	ENTITY/Machine_learning
M	ENTITY/Text_mining	ENTITY/Data_mining
M	ENTITY/Biclustering	ENTITY/Boosting_(machine_learning)
M	ENTITY/Biclustering	ENTITY/Unsupervised_learning
M	ENTITY/Gene_expression	ENTITY/Gene
M	ENTITY/Gene_expression	ENTITY/Transcription_factor
M	ENTITY/Gene_expression	ENTITY/Genome
M	ENTITY/Bioinformatics	ENTITY/Systems_biology
M	ENTITY/Bioinformatics	ENTITY/Machine_learning
M	ENTITY/Gene	ENTITY/Protein
M	ENTITY/Hidden_Markov_model	ENTITY/Bayesian_network
M	ENTITY/Hidden_Markov_model	ENTITY/Unsupervised_learning
M	ENTITY/Hidden_Markov_model	ENTITY/Markov_chain
M	ENTITY/Hidden_Markov_model	ENTITY/Support_vector_machine
M	ENTITY/Hidden_Markov_model	ENTITY/Artificial_neural_network
M	ENTITY/Hidden_Markov_model	ENTITY/Machine_learning
M	ENTITY/Hidden_Markov_model	ENTITY/Recurrent_neural_network
M	ENTITY/Bayesian_probability	ENTITY/Decision_theory
M	ENTITY/Boosting_(machine_learning)	ENTITY/Unsupervised_learning
M	ENTITY/Boosting_(machine_learning)	ENTITY/Evolutionary_computation
M	ENTITY/Boosting_(machine_learning)	ENTITY/Independent_component_analysis
M	ENTITY/Boosting_(machine_learning)	ENTITY/Support_vector_machine
M	ENTITY/Boosting_(machine_learning)	ENTITY/Regularization_(mathematics)
M	ENTITY/Boosting_(machine_learning)	ENTITY/Connectionism
M	ENTITY/Boosting_(machine_learning)	ENTITY/Machine_learning
M	ENTITY/Boosting_(machine_learning)	ENTITY/Recurrent_neural_network
M	ENTITY/Boosting_(machine_learning)	ENTITY/Perceptron
M	ENTITY/Eukaryote	ENTITY/RNA
M	ENTITY/Protein	ENTITY/Enzyme
M	ENTITY/Protein	ENTITY/Transcription_factor
M	ENTITY/Protein	ENTITY/RNA
M	ENTITY/Protein	ENTITY/Protein_folding
M	ENTITY/Molecular_dynamics	ENTITY/Protein_folding
M	ENTITY/Nucleic_acid_hybridization	ENTITY/Nucleic_acid_sequence
M	ENTITY/Nucleic_acid_hybridization	ENTITY/DNA_microarray
M	ENTITY/Nucleic_acid_hybridization	ENTITY/RNA
M	ENTITY/Nucleic_acid_sequence	ENTITY/Genome
M	ENTITY/Unsupervised_learning	ENTITY/Evolutionary_computation
M	ENTITY/Unsupervised_learning	ENTITY/Independent_component_analysis
M	ENTITY/Unsupervised_learning	ENTITY/Support_vector_machine
M	ENTITY/Unsupervised_learning	ENTITY/Regularization_(mathematics)
M	ENTITY/Unsupervised_learning	ENTITY/Connectionism
M	ENTITY/Unsupervised_learning	ENTITY/Artificial_neural_network
